Alimentos,Calorias
abacate,108
abacaxi,44
abóbora ,19
abobrinha,17
acucar ,391
acucar mascavo,384
agriao,23
alface,12
alho,67
alho poró,21
ameixa fresca,36
ameixa seca,158
amendoa,619
amendoim,587
arroz branco cru,363
arroz branco cozido,127
arroz integral cru,352
arroz integral cozindo,123
aspargos,18
atum conserva,214
atum fresco,140
azeite,900
azeitona,172
bacalhau desalgado,80
bacon ,367
banana,95
banha,896
batata assada,152
batata cozida,85
batata crua,89
batata frita,225
batata doce,119
beringela,16
beterraba,18
biscoito agua e sal,130
biscoito recheado,469
brocolis,22
cacao,82
carne bovina file,169
carne bovina picanha,325
carne bovina moida,241
carne bovina assada,267
camarao,99
castanha,182
cenoura,19
cereja,60
chocolate,479
chourico de carne,500
chourico de sangue,238
côco ralado,606
coelho,117
cogumelos,14
compotas,240
couve,19
couve-flor,29
croissant,416
croquete,317
damasco,43
damasco seco,241
caqui,58
donut ,395
empada,373
ervilha,67
espaguete cru,358
espaguete cozido,101
espinafre,22
farinha de trigo,347
farofa,362
feijao branco cru,277
feijao branco cozido,91
feijao frade cru,329
feijao fradee cozindo,116
feijao manteiga cru,275
feijao manteiga cozido,94
feijao preto cru,55
feijao preto cozido,13
figado suino,129
figado bovino,119
figo,70
figo seco,234
frango coxa c/ pele,210
frango coxa s/ pele,110
frango peito c/ pele,176
frango peito s/ pele,108
garoupa,95
hamburger bovino,142
iogurte natural,54
kiwi,53
laranja,42
leite integral,60
leite desnatado,34
limao,26
linguica,309
maca,57
maionese,664
manga,52
manteiga,739
massas cruas,360
mel,309
melancia,24
melao,27
mexilhao,69
morango,29
mortadela,379
nabo,16
óleo ,896
ovo inteiro,1149
ovo clara,47
ovo gema,342
pao frances,310
pao integral,221
pao de forma,244
pepino,17
pera,41
peito de perú,105
presunto,303
pessego,38
polvo,73
pimenta,22
porco perna,152
porco costela,221
porco lombo,121
queijo processado,380
queijo fresco,125
requeijao,187
robalo,145
salsicha,178
sardinha enlatada,211
salmao,200
sorvete,198
tomate,19
tangerina,48abacate,0.0
